site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,median_income,christian_p,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9
屏東縣獅子鄉,0.7538,0.4472,0.1268,0.0747,0.4506,0.1242,0.6803,0.1784,0.3493,40.0245,40,0.2683,612,0.7654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
屏東縣泰武鄉,0.7605,0.486,0.1372,0.0814,0.4666,0.1109,0.6635,0.1878,0.3806,37.5414,37,0.0515,584,0.3458,0.5,0.35,0.23147301006404392,-0.41674876847290643,-0.436399217221135,-0.3815028901734104,0.16115261472785486,0.6223776223776224,0.5801886792452831,0.5876777251184834
屏東縣萬丹鄉,0.8086,0.6164,0.2556,0.1786,0.509,0.0722,0.6575,0.1717,0.3413,41.7056,41.0014,0.4363,570,0.0234,0.5384468064732356,0.3827280693213903,0.24041811846689895,0.02727432693999648,-0.38035044895824255,-0.3432181084400772,0.14363048982799267,0.5393871866295264,0.5033405050390669,0.4679152921145046
屏東縣萬巒鄉,0.8092,0.5835,0.2264,0.1528,0.4865,0.0928,0.6726,0.151,0.2974,44.2098,45,0.7317,551,0.2527,0.5542347696879644,0.3905899925317401,0.2164343360234776,0.1659634317862166,-0.40415964024733,-0.33220910623946037,0.13620604259534422,0.5828707375099128,0.47572815533980584,0.513126491646778
屏東縣霧臺鄉,0.7436,0.5194,0.1757,0.1203,0.4703,0.0928,0.6586,0.1736,0.3362,41.9468,42.2391,0.4688,576,0.6904,0.6036446469248291,0.48936170212765956,0.43178973717146435,-0.3858267716535433,-0.4641638225255973,-0.4570446735395189,0.15178571428571427,0.5805243445692884,0.539622641509434,0.4756554307116105
屏東縣新埤鄉,0.7703,0.5451,0.1736,0.1089,0.4876,0.1024,0.692,0.1397,0.2823,45.8665,47.3831,0.8726,533,0.0535,0.5857338820301783,0.38344988344988346,0.2358104154476302,0.056937534549474846,-0.4379310344827586,-0.3814553990610329,0.1707920792079208,0.5574837310195228,0.4821958456973294,0.4319009468317553
屏東縣新園鄉,0.8025,0.5399,0.2209,0.1492,0.4965,0.0756,0.6596,0.1641,0.3358,42.6963,42,0.5583,545,0.054,0.5144724556489262,0.36966211358734724,0.2157398551714715,0.12701586032253764,-0.39688766836667977,-0.34278587370355784,0.17252888318356868,0.5282546494992847,0.4708994708994709,0.45460670372241874
屏東縣鹽埔鄉,0.7762,0.5421,0.2132,0.1455,0.4934,0.0869,0.6629,0.1668,0.3322,42.7166,42.5909,0.561,534,0.0185,0.5244885306881587,0.3486568817502077,0.1896355353075171,0.03973325923867741,-0.39741750358680056,-0.3344788087056128,0.15295551492992077,0.5580448065173116,0.49072164948453606,0.481531684174856
屏東縣長治鄉,0.8252,0.6394,0.2917,0.2042,0.4963,0.0844,0.6566,0.166,0.3271,43.4714,44,0.6585,598,0.051,0.5324444444444445,0.3719951923076923,0.22909749471777846,-0.05812574139976275,-0.38129933211900424,-0.37216431637032493,0.12496375761090171,0.5607416879795396,0.5101108936725375,0.5004890772742093
屏東縣竹田鄉,0.8182,0.652,0.2581,0.1713,0.4978,0.0869,0.6755,0.1502,0.2968,45.4719,47,0.8455,576,0.0227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
