site_id,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
臺南市玉井區,0.1631,0.6927,48.1481,53.6,37.08,34.61,29,21.81,12.49,13.47,25.77,34.62,32.7,33.21,5324
臺南市中西區,0.3413,0.645,43,61.6,38.23,35.26,33.27,29.29,18.48,19.12,27.35,38.01,35.63,37.35,33015
臺南市左鎮區,0.0998,0.7383,53.5595,50.6,36.56,32.34,29.29,23.79,10.12,11.34,21.39,29.76,27.59,27.93,1663
臺中市北區,0.3323,0.635,41,59.8,38.85,36.61,33.37,23.63,18.13,18.75,31.15,43.13,40.6,41.76,66222
臺中市北屯區,0.3157,0.6443,38.5578,62.5,39.8,37.52,34.02,22.98,17.59,18.31,32.24,44.28,42.09,43.27,123256
臺中市大安區,0.1627,0.6714,41,51.2,42.95,37.97,32.52,24.95,15,16.13,30.05,44.12,40.94,41.63,8979
臺中市大肚區,0.2202,0.6488,38.6546,54.8,42.23,38.18,33.2,24.2,16.25,16.56,31.35,44.44,41.67,42.58,25866
臺中市大甲區,0.22,0.6505,38,54.2,41.37,38.13,33.96,24.19,16.03,17.07,30.8,43,40.25,41.79,33680
臺中市大里區,0.2508,0.6379,37,55.7,40.31,37.01,33.1,24.07,16.56,17.18,30.63,42.8,40.12,41.2,90509
臺中市大雅區,0.2341,0.6443,36.9755,57.2,40.99,38.07,33.5,23.01,15.95,17.41,31.24,43.54,41.69,43.06,41077
臺中市東區,0.2689,0.6419,40.2062,56.3,41.67,38.65,34.38,26.35,18.38,18.4,31.48,44.17,40.97,42.5,35389
臺中市東勢區,0.1845,0.6725,43.4181,52.7,44.44,40.48,35.8,21.65,13.98,15.51,30.6,43.9,40.67,42.12,23269
臺中市豐原區,0.2448,0.6471,39,55.9,42.57,39.34,34.91,26.09,17.45,18.56,32.93,44.99,42.58,44.04,76988
臺中市和平區,0.1197,0.7122,45,53,48.73,43.54,36.92,21.69,12.53,13.48,32.82,47.43,44.3,44.42,5369
臺中市后里區,0.1957,0.6648,39,55.2,40.94,37.62,31.76,24.16,15.91,16.95,31.26,44.53,41.54,42.21,24418
臺中市龍井區,0.2439,0.6472,37,57,40.2,37.05,32.72,23.36,17.06,16.9,30.55,42.07,39.59,41.31,33618
臺中市南區,0.3415,0.6424,39,64.8,41.96,39.45,36.38,26.69,19.89,20.24,33.18,46.81,43.83,45.12,60043
臺中市南屯區,0.3553,0.6422,37.9264,73,40.9,38.75,35.93,24.64,19.36,20.09,33.24,46.55,43.76,44.85,77556
臺中市清水區,0.2217,0.6522,39,54.4,41.83,37.89,33.34,25.02,16.82,17.58,32.39,45.03,41.39,42.91,39306
臺中市沙鹿區,0.2576,0.6631,37,60.9,40.43,36.99,32.87,23.58,16.39,17.13,30.85,43.44,40.4,42.48,39659
臺中市神岡區,0.2058,0.6534,38.3799,52,43.08,39.04,33.89,26.29,16.35,16.72,30.75,44.39,41.43,42.6,29997
臺中市石岡區,0.1848,0.6597,42.4398,52.1,43.18,38.23,33.41,23.91,14.67,16.37,31.93,44.53,41.61,42.41,7114
臺中市太平區,0.2327,0.64,37.9974,54.1,39.28,36.13,31.92,22.44,15.75,16.43,30.23,41.91,39.21,40.44,80906
臺中市潭子區,0.2339,0.6441,38,57.2,41.51,38.17,34.18,24.14,17.34,17.05,31.93,44.22,41.52,42.67,48422
臺中市外埔區,0.1834,0.6705,39,54.3,43.34,39.12,33.86,23.12,14.65,15.16,31.82,44.78,41.72,44.13,14783
臺中市烏日區,0.2447,0.6518,38,58.3,41.04,38.33,33.69,24.82,16.9,17.4,31.37,44.37,41.42,42.65,33822
臺中市梧棲區,0.2316,0.6472,37,57.1,40.12,36.16,31.16,24.81,16.16,16.83,30.87,43.16,39.81,41.68,25134
臺中市霧峰區,0.2237,0.6535,39.6471,53.2,43.54,39.75,34.68,25.11,16.24,17.23,32.13,45.77,42.56,43.74,31012
臺中市西區,0.3776,0.6428,41,65.5,39.34,36.9,34.2,25.34,19.44,20.15,31.66,44.04,41.35,42.49,52551
臺中市西屯區,0.3524,0.6416,38,69.6,39.41,37.28,34.19,23,18.54,19.41,32.31,45.06,42.48,43.48,101237
臺中市新社區,0.1573,0.6806,42.9147,53.3,40.25,37.21,32.42,23.06,13.32,14.3,28.3,39.53,36.94,38.6,10135
臺中市中區,0.2654,0.6517,42,54.3,39.9,37.16,32.85,26.7,16.68,16.92,28.57,41.73,38.81,39.41,7673
桃園市八德區,0.2407,0.66,37.9495,60.8,35.42,32.57,28.8,20.45,15.29,15.9,27.83,37.6,36.31,37.39,77782
桃園市大溪區,0.2102,0.6605,39,57.4,37.92,34.32,30.09,22.87,15.13,15.75,27.99,38.4,36.58,37.17,37901
桃園市大園區,0.2127,0.6618,37.3794,60.9,35.76,32.48,28.06,22.54,15.21,15.49,26.8,36.39,34.6,35.76,34049
桃園市復興區,0.098,0.6911,38.5192,57,47.03,42.4,35.96,18.49,9.9,10.08,26.66,38.3,36.45,36.07,4583
桃園市觀音區,0.19,0.6597,37.9009,59.1,36.32,32.75,27.75,22.6,14.64,15.37,27.05,37.2,35.32,36.13,25840
桃園市龜山區,0.2552,0.6579,38,64.4,33.8,31.1,27.75,21.57,15.97,17.02,26.51,36.4,34.67,35.48,60705
桃園市龍潭區,0.2638,0.6627,38.8536,63.1,39.6,36.4,33.43,18.73,14.65,15.28,31.16,41.42,39.56,40.36,51179
桃園市蘆竹區,0.2724,0.6694,37,72.1,35.55,33.09,29.71,21.7,16.02,16.86,27.65,37.25,35.71,37.01,61105
桃園市平鎮區,0.2698,0.6561,37.1218,64.2,38.13,35.52,31.34,20.01,15.82,16.33,30.28,40.72,39.17,40.04,92074
桃園市桃園區,0.3044,0.6527,38.1509,69.3,34.28,31.81,28.93,21.33,16.77,17.57,28.33,37.71,36.27,37.56,171837
桃園市新屋區,0.1885,0.6792,41.23,57.8,41.03,36.79,30.73,23.66,14.68,15.46,29.88,41.22,38.82,40.1,21561
桃園市楊梅區,0.2561,0.665,37.3284,63.2,37.43,34.39,30.45,18.24,14.08,15.38,29.23,39.23,37.69,38.42,66211
桃園市中壢區,0.2925,0.6595,38,66.8,36.97,34.67,31.2,19.64,15.93,16.64,30.09,40.22,38.92,39.95,166034
新北市八里區,0.2018,0.6459,40.9849,56.3,36.38,33.72,29.11,23,17.04,17.26,28.15,38.47,36.34,37.85,16177
新北市板橋區,0.281,0.6403,40.3079,62.8,38.08,35.77,33.12,25.75,19.1,19.39,29.41,39.63,38.18,39.69,238604
新北市淡水區,0.3185,0.6499,42.1609,64.8,35.37,33.54,30.37,21.55,18.31,18.03,28.93,38.68,37.65,38.63,72399
新北市貢寮區,0.1225,0.7178,48,50.3,31.32,27.58,23.49,23.68,12.23,12.57,20.81,29.34,28.11,28.48,4384
新北市金山區,0.1572,0.6683,42.3189,49.5,35.59,31.94,27.55,22.65,13.98,17.24,25.82,36.11,34.43,34.73,8713
新北市林口區,0.3398,0.6642,38.2985,75.8,36.85,34.76,31.84,22.91,19.01,19.58,31.23,41.81,40.28,41.91,45476
新北市蘆洲區,0.2282,0.6213,38.7461,58.2,35.63,32.61,29.62,25.56,18.19,18.63,27.83,37.61,36.3,37.5,82181
新北市平溪區,0.0875,0.7372,53.1061,52.3,36.61,31.82,28.19,23.72,12.1,12.66,23.93,33.05,30.85,31.38,1840
新北市坪林區,0.1374,0.7103,50,54.8,36.78,32.74,29.1,26.24,14.06,15.24,26.06,35.22,33.22,33.15,2610
新北市瑞芳區,0.1462,0.6575,45,52.6,34.32,30.79,26.76,21.25,14.09,14.94,25.38,34.85,33.79,33.93,15488
新北市三峽區,0.2323,0.6446,39,59.5,36.64,33.74,30.35,22.95,16.8,17.3,28.15,37.9,37.16,37.78,45838
新北市三芝區,0.1784,0.6538,44.8386,49.7,33.84,29.88,26.76,21.38,15.27,15.84,25.28,34.79,33.51,33.19,8926
新北市三重區,0.2387,0.6232,41,57.5,36.92,34.17,30.92,26.99,18.89,19.55,28.32,38.84,37.05,38.49,167528
新北市深坑區,0.2468,0.6301,43.1437,60.4,36.99,34.48,31.03,24.07,18.32,18.72,29.65,39.73,38.75,39.46,10394
新北市石碇區,0.1386,0.682,48,51.8,36.45,32.01,27.62,24.85,14.79,15.95,24.49,34.37,32.53,33.45,3077
新北市石門區,0.1495,0.6697,42,51,36.24,32.23,28.07,22.34,14.58,15,26.37,37.03,35.11,35.74,4917
新北市樹林區,0.237,0.6398,38.8538,58.5,37.43,34.55,31.02,25.07,18.15,18.53,28.87,39.89,38.1,39.18,77873
新北市雙溪區,0.131,0.7033,51,53.1,35.28,31.24,26.53,21.89,13.14,12.96,25.84,34.24,32.49,33.55,3476
新北市泰山區,0.2424,0.646,38.9774,62.5,38.26,35.39,31.79,24.28,17.87,18.35,29.65,40.5,38.88,40.08,32967
新北市土城區,0.2387,0.6284,39.3478,57.7,36.89,34.03,31.21,24.33,18.35,18.76,29.42,39.31,38.23,39.07,101064
新北市萬里區,0.1444,0.6933,45,50.7,35.73,32.69,28.15,21.84,12.81,13.52,25.61,35.67,34.09,34.75,8694
新北市烏來區,0.1654,0.6714,39,61.6,40.24,38.01,33.68,22.06,15.39,15.81,29.26,39.36,37.65,37.96,2542
新北市五股區,0.2031,0.6368,39,56.1,36.64,33.82,30.66,25.05,17.34,17.76,27.61,37.79,36.21,37.55,35250
新北市汐止區,0.2803,0.6435,43,63.6,34.97,32.73,29.97,21.73,18.22,18.57,29.1,38.86,37.67,38.44,85612
新北市新店區,0.3402,0.6502,45,66.6,38.5,36.57,33.63,20.17,17.94,18.31,32.83,43.1,42.08,42.6,140023
新北市新莊區,0.2548,0.6315,38.6751,59.6,38.32,35.53,32.2,26.11,19.22,19.65,30.13,40.59,38.98,40.53,181249
新北市鶯歌區,0.2062,0.633,39,55.5,36.7,33.4,29.75,24.38,17.08,17.67,27.84,37.92,36.41,37.72,35091
新北市永和區,0.3642,0.6435,43.8242,69.6,39.45,37.55,34.82,21.71,19.29,20.02,33.42,44.32,42.93,44.15,103642
新北市中和區,0.2915,0.6425,42.3411,63.3,37.91,35.96,33.02,21.96,17.93,18.43,30.9,41.07,40.13,41.1,183546
新竹市北區,0.3194,0.6629,39,67.8,38.73,36.42,32.88,23.07,17.89,18.62,30.56,41.35,39.53,41.03,64430
新竹市東區,0.4233,0.6719,37.3224,88.6,37.82,35.91,33.48,22.51,19.96,20,32.02,42.18,40.69,42.17,88100
新竹市香山區,0.2756,0.666,38.2216,64.4,39.73,36.56,33,23.6,17.15,17.8,30.87,42.23,40.59,41.48,34299
新竹縣寶山鄉,0.2935,0.6792,42.9677,67.4,41.59,37.99,33.61,21.5,17.44,20.1,32.71,44.5,42.55,43.32,7190
新竹縣北埔鄉,0.167,0.6812,45,55.9,41.94,38.29,33.07,19.93,15.02,18.94,30.72,43.22,40.46,41.66,4317
新竹縣峨眉鄉,0.151,0.7197,50,55.7,45.92,41.4,36.33,21.86,13.6,14.64,31.16,44.16,42.11,42.92,2808
新竹縣關西鎮,0.1874,0.6793,45,57.9,42.98,38.92,33.79,19.29,14.66,15.21,30.18,43.36,41.44,41.42,13165
新竹縣橫山鄉,0.1671,0.6848,46,67.4,44.53,40.45,32.8,19.22,14.31,15.35,31.84,44.71,42.45,42.93,6239
新竹縣湖口鄉,0.2379,0.6587,38,61.1,41.45,38.14,33.29,19.17,15.38,16.41,31.32,43.31,41.42,42.14,33732
新竹縣尖石鄉,0.0847,0.6644,34,53.5,48.22,43.54,38.67,17.95,9.25,9.64,23.04,32.02,30.85,30.04,2923
新竹縣芎林鄉,0.2466,0.6673,42.4538,61.5,42.74,39.32,35.44,19.63,16,16.51,31.04,44.13,42.26,42.92,9526
新竹縣五峰鄉,0.0644,0.7113,40,50.9,44.38,39.63,33.95,15.86,9.83,9.68,23.67,31.07,30.45,29.2,1573
新竹縣新埔鎮,0.2314,0.6739,43.4244,59.9,41.74,37.67,33.14,19.44,14.96,15.96,32.12,42.66,40.79,41.69,15226
新竹縣新豐鄉,0.2563,0.6615,37.3995,64.1,41.18,37.84,33.66,20.07,15.49,15.93,30.73,42.58,40.55,41.74,24111
新竹縣竹北市,0.433,0.7024,36,102.1,39.22,37.4,34.6,22.16,19.76,20.37,32.81,44.53,42.94,44.37,76095
新竹縣竹東鎮,0.2786,0.6617,39,66.1,39.48,36.64,32.6,17.74,15.45,15.94,30.23,41.43,39.69,40.57,40141
宜蘭縣大同鄉,0.0697,0.6981,36.6667,53.4,60.81,56.17,51.63,16.8,11.27,10.7,24.76,33.31,32.04,31.45,2087
宜蘭縣冬山鄉,0.2062,0.6701,42,55.9,37.95,33.92,29.07,27.47,16.74,17.84,29.17,39.1,38.34,38.18,22638
宜蘭縣礁溪鄉,0.195,0.6653,43,55.8,37.95,33.49,29.24,27.09,16.45,17.24,28.33,38.16,37.16,37.44,15290
宜蘭縣羅東鎮,0.2527,0.6544,39,59.5,39.51,36.21,32.37,27.49,18.68,19.61,30.27,41.76,40.5,40.97,30815
宜蘭縣南澳鄉,0.0811,0.6917,34.6591,55.4,50.95,47.35,40.91,14.47,10.47,11.58,32.11,43.22,42.79,41.73,2436
宜蘭縣三星鄉,0.1677,0.6852,46.3631,54.1,36.48,34.03,29.05,26.99,15.25,16.37,26.72,36.68,35.29,35.27,9009
宜蘭縣蘇澳鎮,0.1608,0.6793,44,55.4,39.14,35,29.34,27.91,16.77,17.76,29.12,39.75,38.2,37.8,17497
宜蘭縣頭城鎮,0.1633,0.6756,43,53.2,38.16,34.26,29.8,25.07,16.49,17.23,27.66,38.99,37.36,37.31,12448
宜蘭縣五結鄉,0.2051,0.6638,42.8032,55.9,37.47,34.04,29.31,26.45,16.64,17.73,28.13,38.67,37.82,37.79,17213
宜蘭縣宜蘭市,0.2661,0.6401,40,61,38.8,35.83,32.43,25.88,17.99,18.94,30.23,41.21,40.63,40.58,41436
宜蘭縣員山鄉,0.1739,0.6639,43,54.5,37.35,33.69,29.54,26.39,16.57,16.53,26.45,37.62,36.33,36.35,13542
宜蘭縣壯圍鄉,0.1678,0.6666,43.3551,55.2,40.58,36.64,32.53,30.06,18.49,18.35,29.07,39.86,38,38.55,10959
雲林縣褒忠鄉,0.1472,0.6924,45,56,36.11,32.31,27.78,24.84,14.85,15.73,26.86,35.75,33.93,33.81,5196
雲林縣北港鎮,0.1969,0.6675,43,58.8,39.39,35.27,30.83,26.34,15.77,16.16,28.39,37.8,35.62,36.57,16385
雲林縣莿桐鄉,0.1683,0.6827,42,54.6,39.06,35.19,30.2,26.91,15.49,16.39,28.56,37.87,35.55,35.65,12031
雲林縣大埤鄉,0.1521,0.6912,44,53.3,38.6,33.42,28.49,25.2,14.09,15.37,26.72,36.27,34.61,33.59,7639
雲林縣東勢鄉,0.1243,0.7213,47.1489,58.5,36.11,31.91,27.29,23.89,13.63,13.3,25.12,34.31,31.65,32.36,5723
雲林縣斗六市,0.2586,0.6532,39.3626,60.2,41.26,37.81,33.4,23.82,16.45,17.26,32.2,43.31,41.24,42.18,48235
雲林縣斗南鎮,0.2178,0.6633,42,56.6,41.7,37.69,33.27,25.23,16.37,17.26,29.69,41.44,38.99,39.83,19876
雲林縣二崙鄉,0.1346,0.7055,45.5301,56.2,34.23,29.82,25.83,25.71,12.91,14.02,23.87,31.68,30.02,30.21,9684
雲林縣古坑鄉,0.1675,0.6925,45,55.6,38.51,34.69,30.27,23.56,13.91,15.15,28.19,37.56,35.78,35.8,13078
雲林縣虎尾鎮,0.2255,0.6667,40,63.5,38.43,34.44,30.11,23.1,15.29,16.5,28.9,38.72,36.96,37.91,28411
雲林縣口湖鄉,0.1193,0.7061,45,50.6,34.98,30.53,26.49,24.4,11.94,12.36,24.09,31.61,29.73,29.66,9728
雲林縣林內鄉,0.1677,0.6691,42,52.5,40.83,36.46,31.41,24.17,15.76,16.33,28.82,39.88,37.63,37.84,7803
雲林縣崙背鄉,0.1368,0.7004,44.7279,56.4,35.37,31.54,27.36,23.51,13.78,13.68,24.78,32.9,31.47,32.44,9031
雲林縣麥寮鄉,0.165,0.6721,37,62.8,35.25,31.72,27.42,20.22,13.18,13.27,25.55,33.51,31.85,33.98,16196
雲林縣水林鄉,0.118,0.7134,48.2857,53.8,31.88,27.95,23.89,24.16,12.39,11.95,21.81,29.32,27.15,27.78,8393
雲林縣四湖鄉,0.1135,0.7222,47.804,55.2,28.67,25.89,21.49,19.56,9.75,10.45,19.58,26.46,24.94,25.3,7104
雲林縣臺西鄉,0.1291,0.719,45.5586,58.1,33.43,30.5,25.9,19.91,10.93,11.95,24,31.62,29.69,30.44,8407
雲林縣土庫鎮,0.1628,0.6915,42.2415,57.3,37.44,34.06,28.92,24.46,14.42,15.66,26.96,36.47,34.12,34.79,11356
雲林縣西螺鎮,0.1791,0.6737,41,58,37.06,33.96,29.59,26.02,15.05,16.07,27.51,37.54,35.01,36.38,18115
雲林縣元長鄉,0.1205,0.7232,48,53.9,31.71,28.14,24.35,21.73,11.3,11.9,21.33,28.83,27.04,27.2,8511
彰化縣北斗鎮,0.2102,0.6602,39.5115,55.7,43.17,39.39,34.3,25.24,16.19,17.55,31.25,43.18,40.62,41.74,14774
彰化縣埔心鄉,0.1937,0.6621,40,52.1,44.77,40.08,34.81,26.62,16.77,17.82,33.43,44.37,42.02,43.06,16697
彰化縣埔鹽鄉,0.1858,0.6764,41,51.9,45.09,40.62,35.23,23,14.1,15.24,32.99,45.23,42.28,43.54,15541
彰化縣大城鄉,0.0886,0.7354,46.35,52.9,29.3,25.31,22.02,16.5,8.62,9.39,20.23,27.55,25.96,25.91,5006
彰化縣大村鄉,0.1978,0.6603,39.5842,53.5,43.2,38.39,33.98,24.99,15.32,17.46,32.01,44.12,41.76,42.12,17193
彰化縣二林鎮,0.1596,0.6811,42,55.6,38.7,34.95,30.74,21.45,13.16,14.93,27.64,38.47,36.59,36.62,20403
彰化縣二水鄉,0.168,0.6888,46.3382,54.9,44.8,40.86,37.36,28.05,16.57,16.13,30.4,42.6,40.15,40.69,7290
彰化縣芳苑鄉,0.1132,0.7077,44.3386,50.7,35.82,32.49,27.6,22.98,11.27,12.54,25.25,34.65,32.53,33.19,12549
彰化縣芬園鄉,0.1653,0.6785,42.2467,50.5,40.96,36.86,31.98,23.33,16.05,14.92,30.15,40.9,38.18,38.94,10322
彰化縣福興鄉,0.1875,0.6571,39,50.4,39.96,36.31,32.51,25.41,14.27,16.02,28.69,39.32,37.33,37.53,19623
彰化縣和美鎮,0.2224,0.6507,38.1472,52.6,40.72,37.42,32.69,23.88,16.52,17.2,30.83,43.1,40.44,41.38,40024
彰化縣花壇鄉,0.2131,0.6492,39.3824,51.7,44.23,40.62,36.45,24.8,16.33,15.99,31.05,43.55,39.97,42,21012
彰化縣鹿港鎮,0.2051,0.6559,38,52,43.12,38.51,33.85,26.61,15.59,16.34,30.6,42.86,40.22,41.54,37447
彰化縣埤頭鄉,0.1723,0.69,40.9029,54.6,38.35,34.44,30.5,23.22,14.4,15.08,29.22,38.24,37.48,37.96,12547
彰化縣社頭鄉,0.2001,0.6615,40,52.4,42.79,38.98,32.23,25.94,15.31,16.27,31.7,42.56,40.42,41.41,19341
彰化縣伸港鄉,0.1853,0.6606,37.558,49.7,40.74,36.37,31.97,23.51,15.42,16.31,31.08,43.74,40.73,41.12,15950
彰化縣田尾鄉,0.1812,0.6629,41,53.2,43.41,38.69,34.38,25.6,15.55,16.68,32.27,43.69,42.22,42.14,12613
彰化縣田中鎮,0.2078,0.6602,41.6825,56.5,43.17,38.25,34.52,24.13,14.79,16.33,30.24,42.37,39.78,40.01,18600
彰化縣溪湖鎮,0.2129,0.6537,38,55.6,42.17,37.93,34.01,23.84,15.72,17.04,31.73,43.34,41.68,41.95,24262
彰化縣溪州鄉,0.1499,0.6879,42.5978,53.9,38.36,33.96,29.09,24.84,14.9,14.86,26.14,36.48,34.73,34.8,11698
彰化縣線西鄉,0.1852,0.6608,39,49.4,43.73,39.12,33.78,24.66,18.06,16.52,33.04,45.23,42,42.35,7728
彰化縣秀水鄉,0.2145,0.6556,38.0721,52.8,43.08,39.05,34.62,25.89,16.48,17.22,31.44,44.11,41.4,42.33,17859
彰化縣永靖鄉,0.1963,0.6587,40,52.4,44.09,38.98,33.88,25.77,17,18.09,31.65,43.64,41.26,41.85,17008
彰化縣員林市,0.2647,0.6491,39,58.4,41.13,37.65,32.99,23.55,16.49,16.98,31.38,42.27,40.37,41.15,54114
彰化縣彰化市,0.2759,0.6499,39,58.2,43.4,40.02,36.02,26.13,18.33,18.45,32.36,44.98,42.51,43.41,107662
彰化縣竹塘鄉,0.131,0.71,44.3878,56.3,40.15,34.02,29.29,23.98,13.32,14.29,28.06,37.73,35.22,35.59,6101
