site_id,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
金門縣金沙鎮,0.2582,0.6966,45,68.6,28.11,26.16,22.98,7.2,6.42,6.78,21.55,28.35,27.45,27.53,6129
金門縣烈嶼鄉,0.2467,0.7054,45,67.9,28.3,26.23,23.22,6.77,7.05,7.44,24.03,30.37,29.22,29.11,4052
金門縣烏坵鄉,0.2369,0.6802,41,75.4,23.46,22.05,19.93,7.58,6.53,6.7,16.75,24.34,23.81,23.81,154
連江縣北竿鄉,0.277,0.6811,42.7333,70.3,39.15,37.74,33.55,10.12,11.62,12.52,33.27,43.01,42.49,41.79,1055
連江縣東引鄉,0.234,0.6456,37.3333,86.4,37.96,35.15,28.56,10.72,23.81,14.5,31.11,44.99,42.53,43.67,564
連江縣莒光鄉,0.2587,0.692,45.2857,75.2,39.97,36.73,31.53,12.22,12.49,13.5,33.9,43.48,41.19,41.86,739
連江縣南竿鄉,0.2932,0.6589,39.9167,79.5,38.46,36.91,32.41,10.18,12.23,13.14,34.07,42.92,41.91,42.5,3140
苗栗縣大湖鄉,0.1546,0.6946,46,55.2,39.63,35.2,30.17,18.05,13.27,15,28.85,40.53,38.16,38.14,6265
苗栗縣公館鄉,0.2101,0.6679,41.9947,59.6,42.99,38.29,32.52,20.7,14.96,16.23,32.38,44.61,42.3,42.58,15661
苗栗縣後龍鎮,0.1713,0.6723,42.2734,55.4,40.05,35.24,30.3,23.64,14.94,16.16,28.4,39.71,37.31,37.69,15558
苗栗縣苗栗市,0.267,0.6595,41,63.6,42.73,39.48,34.81,18.42,15.49,17.31,33.9,45.54,43.48,44.52,40884
苗栗縣南庄鄉,0.1196,0.692,46,51.8,36.81,31.88,26.97,17.16,12.39,13.54,26.04,35.34,34.53,33.98,3997
苗栗縣三灣鄉,0.1648,0.7085,47,53.9,42.69,37.85,32.71,19.6,13.67,14.61,30.21,42.11,39.9,39.52,3115
